Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,17.0,1.0,17.0,17.0,0.0,486.1913422764905,486.1913422764905,0.0,0.0,,,,,,,,,,,,,,,,142.72863733868957,152.03409572298912,484.24920464637916,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,44.0,2.0,27.0,44.0,0.0,1055.5129851110764,1055.5129851110764,0.0,2.4848849773406982,,,,,,,,,,,,,,,,366.3583911788901,347.3894075537781,1046.6679765257727,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,78.0,3.0,34.0,78.0,0.0,1285.6740165771253,1285.6740165771253,0.0,5.313584089279175,,,,,,,,,,,,,,,,481.83207369523694,396.5949457270233,1270.562288359847,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,101.0,4.0,23.0,101.0,0.0,710.1078914153035,710.1078914153035,0.0,7.6048195362091064,,,,,,,,,,,,,,,,224.99869907513747,226.9705186271099,705.6385598964717,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,118.0,5.0,17.0,118.0,0.0,507.5472403424138,507.5472403424138,0.0,9.312405109405518,,,,,,,,,,,,,,,,136.95603486943122,158.4595091618391,505.7247124620956,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,141.0,6.0,23.0,141.0,0.0,831.42336863811,831.42336863811,0.0,11.508447408676147,,,,,,,,,,,,,,,,293.4833389291656,273.9908393827043,825.4987505933328,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,166.0,7.0,25.0,166.0,0.0,745.2562209222808,745.2562209222808,0.0,13.857935190200806,,,,,,,,,,,,,,,,246.21000228258734,239.443443735059,739.8408116768929,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,180.0,8.0,14.0,180.0,0.0,443.0739353688815,443.0739353688815,0.0,15.34705924987793,,,,,,,,,,,,,,,,125.50758428473546,142.8599882289028,441.75858777667196,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,228.0,9.0,48.0,228.0,0.0,2268.0985515875486,2268.0985515875486,0.0,19.23789882659912,,,,,,,,,,,,,,,,1079.155635269654,706.4328987602162,2218.517598693298,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,251.0,10.0,23.0,251.0,0.0,746.2104360347831,746.2104360347831,0.0,21.427459001541138,,,,,,,,,,,,,,,,274.43633751173473,239.22348235721353,740.6390393113245,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
